username;date;answer;
anonymous_714;2020-04-02 15:49:51;8800;
anonymous_714;2020-04-02 15:49:51;22;
anonymous_714;2020-04-02 15:49:51;Férfi;
anonymous_714;2020-04-02 15:49:51;Egyéb;
anonymous_714;2020-04-02 15:49:51;PRÓBA;
anonymous_715;2020-04-02 15:54:08;8800;
anonymous_715;2020-04-02 15:54:08;20;
anonymous_715;2020-04-02 15:54:08;Férfi;
anonymous_715;2020-04-02 15:54:08;Bicikli;
anonymous_716;2020-04-05 10:08:10;8800;
anonymous_716;2020-04-05 10:08:10;51;
anonymous_716;2020-04-05 10:08:10;Nő;
anonymous_716;2020-04-05 10:08:10;Egyéb;
anonymous_716;2020-04-05 10:08:10;autó;
anonymous_717;2020-04-06 18:10:53;8800;
anonymous_717;2020-04-06 18:10:53;23;
anonymous_717;2020-04-06 18:10:53;Férfi;
anonymous_717;2020-04-06 18:10:53;Bicikli;
anonymous_719;2020-04-06 18:18:00;8800;
anonymous_719;2020-04-06 18:18:00;47;
anonymous_719;2020-04-06 18:18:00;Férfi;
anonymous_719;2020-04-06 18:18:00;Tömegközlekedés;
anonymous_720;2020-04-06 18:21:17;8800;
anonymous_720;2020-04-06 18:21:17;85;
anonymous_720;2020-04-06 18:21:17;Nő;
anonymous_720;2020-04-06 18:21:17;Tömegközlekedés;
anonymous_721;2020-04-06 18:22:13;8800;
anonymous_721;2020-04-06 18:22:13;68;
anonymous_721;2020-04-06 18:22:13;Nő;
anonymous_721;2020-04-06 18:22:13;Tömegközlekedés;
anonymous_722;2020-04-06 18:24:20;8800;
anonymous_722;2020-04-06 18:24:20;62;
anonymous_722;2020-04-06 18:24:20;Férfi;
anonymous_722;2020-04-06 18:24:20;Bicikli;
anonymous_723;2020-04-06 18:24:57;8800;
anonymous_723;2020-04-06 18:24:57;33;
anonymous_723;2020-04-06 18:24:57;Nő;
anonymous_723;2020-04-06 18:24:57;Bicikli;
anonymous_724;2020-04-06 18:25:59;8800;
anonymous_724;2020-04-06 18:25:59;47;
anonymous_724;2020-04-06 18:25:59;Férfi;
anonymous_724;2020-04-06 18:25:59;Tömegközlekedés;
anonymous_725;2020-04-06 18:28:28;8800;
anonymous_725;2020-04-06 18:28:28;Férfi;
anonymous_725;2020-04-06 18:28:28;Egyéb;
anonymous_726;2020-04-06 18:28:40;8800;
anonymous_726;2020-04-06 18:28:40;42;
anonymous_726;2020-04-06 18:28:40;Férfi;
anonymous_726;2020-04-06 18:28:40;Tömegközlekedés;
anonymous_727;2020-04-06 18:29:41;8800;
anonymous_727;2020-04-06 18:29:41;22;
anonymous_727;2020-04-06 18:29:41;Férfi;
anonymous_727;2020-04-06 18:29:41;Tömegközlekedés;
anonymous_728;2020-04-06 18:29:56;8800;
anonymous_728;2020-04-06 18:29:56;12;
anonymous_728;2020-04-06 18:29:56;Nő;
anonymous_728;2020-04-06 18:29:56;Tömegközlekedés;
anonymous_729;2020-04-06 18:32:34;8800;
anonymous_729;2020-04-06 18:32:34;17;
anonymous_729;2020-04-06 18:32:34;Nő;
anonymous_729;2020-04-06 18:32:34;Tömegközlekedés;
anonymous_730;2020-04-06 18:34:48;8800;
anonymous_730;2020-04-06 18:34:48;50;
anonymous_730;2020-04-06 18:34:48;Férfi;
anonymous_730;2020-04-06 18:34:48;Egyéb;
anonymous_731;2020-04-06 18:36:32;8800;
anonymous_731;2020-04-06 18:36:32;25;
anonymous_731;2020-04-06 18:36:32;Férfi;
anonymous_731;2020-04-06 18:36:32;Bicikli;
anonymous_732;2020-04-06 18:38:32;8800;
anonymous_732;2020-04-06 18:38:32;51;
anonymous_732;2020-04-06 18:38:32;Nő;
anonymous_732;2020-04-06 18:38:32;Egyéb;
anonymous_732;2020-04-06 18:38:32;autó;
anonymous_735;2020-04-06 18:42:15;8800;
anonymous_735;2020-04-06 18:42:15;22;
anonymous_735;2020-04-06 18:42:15;Férfi;
anonymous_735;2020-04-06 18:42:15;Bicikli;
anonymous_736;2020-04-06 18:42:17;8800;
anonymous_736;2020-04-06 18:42:17;36;
anonymous_736;2020-04-06 18:42:17;Férfi;
anonymous_736;2020-04-06 18:42:17;Egyéb;
anonymous_736;2020-04-06 18:42:17;autó;
anonymous_737;2020-04-06 18:42:50;8800;
anonymous_737;2020-04-06 18:42:50;39;
anonymous_737;2020-04-06 18:42:50;Férfi;
anonymous_737;2020-04-06 18:42:50;Egyéb;
anonymous_738;2020-04-06 18:43:41;8800;
anonymous_738;2020-04-06 18:43:41;64;
anonymous_738;2020-04-06 18:43:41;Férfi;
anonymous_738;2020-04-06 18:43:41;Bicikli;
anonymous_739;2020-04-06 18:43:44;8800;
anonymous_739;2020-04-06 18:43:44;18;
anonymous_739;2020-04-06 18:43:44;Férfi;
anonymous_739;2020-04-06 18:43:44;Egyéb;
anonymous_739;2020-04-06 18:43:44;kismotor;
anonymous_740;2020-04-06 21:54:16;8800;
anonymous_740;2020-04-06 21:54:16;40;
anonymous_740;2020-04-06 21:54:16;Nő;
anonymous_740;2020-04-06 21:54:16;Bicikli;
anonymous_741;2020-04-06 21:55:37;8800;
anonymous_741;2020-04-06 21:55:37;32;
anonymous_741;2020-04-06 21:55:37;Nő;
anonymous_741;2020-04-06 21:55:37;Egyéb;
anonymous_742;2020-04-07 14:59:25;8800;
anonymous_742;2020-04-07 14:59:25;18;
anonymous_742;2020-04-07 14:59:25;Férfi;
anonymous_742;2020-04-07 14:59:25;Egyéb;
anonymous_743;2020-04-07 18:59:04;8800;
anonymous_743;2020-04-07 18:59:04;22;
anonymous_743;2020-04-07 18:59:04;Nő;
anonymous_743;2020-04-07 18:59:04;Egyéb;
anonymous_744;2020-04-07 19:12:44;8800;
anonymous_744;2020-04-07 19:12:44;29;
anonymous_744;2020-04-07 19:12:44;Nő;
anonymous_744;2020-04-07 19:12:44;Tömegközlekedés;
anonymous_745;2020-04-07 19:21:17;8800;
anonymous_745;2020-04-07 19:21:17;22;
anonymous_745;2020-04-07 19:21:17;Férfi;
anonymous_745;2020-04-07 19:21:17;Egyéb;
anonymous_745;2020-04-07 19:21:17;Autó;
anonymous_746;2020-04-07 19:26:54;8800;
anonymous_746;2020-04-07 19:26:54;23;
anonymous_746;2020-04-07 19:26:54;Férfi;
anonymous_746;2020-04-07 19:26:54;Bicikli;
anonymous_747;2020-04-07 19:33:26;8800;
anonymous_747;2020-04-07 19:33:26;32;
anonymous_747;2020-04-07 19:33:26;Nő;
anonymous_747;2020-04-07 19:33:26;Tömegközlekedés;
anonymous_749;2020-04-07 19:57:19;8800;
anonymous_749;2020-04-07 19:57:19;23;
anonymous_749;2020-04-07 19:57:19;Férfi;
anonymous_749;2020-04-07 19:57:19;Tömegközlekedés;
anonymous_749;2020-04-07 19:57:19;Szeretem a tömegközlekedést :);
anonymous_750;2020-04-07 20:57:13;8800;
anonymous_750;2020-04-07 20:57:13;29;
anonymous_750;2020-04-07 20:57:13;Nő;
anonymous_750;2020-04-07 20:57:13;Bicikli;
anonymous_751;2020-04-07 21:23:49;8800;
anonymous_751;2020-04-07 21:23:49;43;
anonymous_751;2020-04-07 21:23:49;Férfi;
anonymous_751;2020-04-07 21:23:49;Egyéb;
anonymous_751;2020-04-07 21:23:49;gyalog;
anonymous_752;2020-04-07 21:53:58;8800;
anonymous_752;2020-04-07 21:53:58;41;
anonymous_752;2020-04-07 21:53:58;Férfi;
anonymous_752;2020-04-07 21:53:58;Egyéb;
anonymous_753;2020-04-08 09:32:38;8800;
anonymous_753;2020-04-08 09:32:38;58;
anonymous_753;2020-04-08 09:32:38;Férfi;
anonymous_753;2020-04-08 09:32:38;Bicikli;
anonymous_754;2020-04-08 12:47:45;8800;
anonymous_754;2020-04-08 12:47:45;52;
anonymous_754;2020-04-08 12:47:45;Férfi;
anonymous_754;2020-04-08 12:47:45;Bicikli;
anonymous_755;2020-04-08 14:40:10;8800;
anonymous_755;2020-04-08 14:40:10;64;
anonymous_755;2020-04-08 14:40:10;Férfi;
anonymous_755;2020-04-08 14:40:10;Egyéb;
anonymous_755;2020-04-08 14:40:10;Autó;
anonymous_756;2020-04-08 15:36:48;8800;
anonymous_756;2020-04-08 15:36:48;66;
anonymous_756;2020-04-08 15:36:48;Nő;
anonymous_756;2020-04-08 15:36:48;Egyéb;
anonymous_756;2020-04-08 15:36:48;szgk;
anonymous_757;2020-04-08 15:42:55;8800;
anonymous_757;2020-04-08 15:42:55;67;
anonymous_757;2020-04-08 15:42:55;Nő;
anonymous_757;2020-04-08 15:42:55;Bicikli;
anonymous_757;2020-04-08 15:42:55;-;
anonymous_758;2020-04-08 15:42:55;8800;
anonymous_758;2020-04-08 15:42:55;67;
anonymous_758;2020-04-08 15:42:55;Nő;
anonymous_758;2020-04-08 15:42:55;Bicikli;
anonymous_758;2020-04-08 15:42:55;-;
anonymous_759;2020-04-08 15:47:06;8800;
anonymous_759;2020-04-08 15:47:06;67;
anonymous_759;2020-04-08 15:47:06;Férfi;
anonymous_759;2020-04-08 15:47:06;Bicikli;
anonymous_760;2020-04-08 15:47:07;8800;
anonymous_760;2020-04-08 15:47:07;67;
anonymous_760;2020-04-08 15:47:07;Férfi;
anonymous_760;2020-04-08 15:47:07;Bicikli;
anonymous_761;2020-04-08 19:37:14;8800;
anonymous_761;2020-04-08 19:37:14;45;
anonymous_761;2020-04-08 19:37:14;Nő;
anonymous_761;2020-04-08 19:37:14;Bicikli;
anonymous_763;2020-04-08 20:14:37;8800;
anonymous_763;2020-04-08 20:14:37;60;
anonymous_763;2020-04-08 20:14:37;Férfi;
anonymous_763;2020-04-08 20:14:37;Egyéb;
anonymous_765;2020-04-08 20:57:16;8800;
anonymous_765;2020-04-08 20:57:16;36;
anonymous_765;2020-04-08 20:57:16;Férfi;
anonymous_765;2020-04-08 20:57:16;Egyéb;
anonymous_766;2020-04-08 21:43:06;8800;
anonymous_766;2020-04-08 21:43:06;72;
anonymous_766;2020-04-08 21:43:06;Férfi;
anonymous_766;2020-04-08 21:43:06;Egyéb;
anonymous_766;2020-04-08 21:43:06;Ált. kerékpárral, gyalog vgy személygépjárművel közlekedek, és 99 %-basn nappal.  Így gyakorlatilag körülrajzolhatom azokat az országokat, ahol voltm, és ahol megtartva a zársas együttlét szabályait, mindig biztonságban éreztem mag. Ezk az országok: Magya;
anonymous_768;2020-04-09 13:07:33;8800;
anonymous_768;2020-04-09 13:07:33;22;
anonymous_768;2020-04-09 13:07:33;Férfi;
anonymous_768;2020-04-09 13:07:33;Bicikli;
anonymous_769;2020-04-14 16:28:32;8800;
anonymous_769;2020-04-14 16:28:32;31;
anonymous_769;2020-04-14 16:28:32;Nő;
anonymous_769;2020-04-14 16:28:32;Egyéb;
anonymous_770;2020-04-14 17:52:07;8800;
anonymous_770;2020-04-14 17:52:07;55;
anonymous_770;2020-04-14 17:52:07;Férfi;
anonymous_770;2020-04-14 17:52:07;Tömegközlekedés;
anonymous_770;2020-04-14 17:52:07;Olyan mozgáskorlátozott vagyok, aki csak gyalog vagy tömegközlekedéssel tud mozogni.;
anonymous_771;2020-04-14 17:52:47;8800;
anonymous_771;2020-04-14 17:52:47;55;
anonymous_771;2020-04-14 17:52:47;Nő;
anonymous_771;2020-04-14 17:52:47;Egyéb;
anonymous_771;2020-04-14 17:52:47;gyalogos;
anonymous_772;2020-04-16 11:46:36;8800;
anonymous_772;2020-04-16 11:46:36;41;
anonymous_772;2020-04-16 11:46:36;Nő;
anonymous_772;2020-04-16 11:46:36;Egyéb;
anonymous_773;2020-04-16 13:44:55;8800;
anonymous_773;2020-04-16 13:44:55;50;
anonymous_773;2020-04-16 13:44:55;Férfi;
anonymous_773;2020-04-16 13:44:55;Egyéb;
anonymous_774;2020-04-17 10:24:25;8800;
anonymous_774;2020-04-17 10:24:25;28;
anonymous_774;2020-04-17 10:24:25;Nő;
anonymous_774;2020-04-17 10:24:25;Egyéb;
anonymous_774;2020-04-17 10:24:25;Gyalog;
anonymous_776;2020-04-18 20:31:43;8800;
anonymous_776;2020-04-18 20:31:43;55;
anonymous_776;2020-04-18 20:31:43;Nő;
anonymous_776;2020-04-18 20:31:43;Tömegközlekedés;
anonymous_777;2020-04-18 20:32:06;8800;
anonymous_777;2020-04-18 20:32:06;55;
anonymous_777;2020-04-18 20:32:06;Nő;
anonymous_777;2020-04-18 20:32:06;Tömegközlekedés;
anonymous_778;2020-04-19 14:33:57;8800;
anonymous_778;2020-04-19 14:33:57;21;
anonymous_778;2020-04-19 14:33:57;Férfi;
anonymous_778;2020-04-19 14:33:57;Egyéb;
anonymous_779;2020-04-19 14:41:31;8800;
anonymous_779;2020-04-19 14:41:31;30;
anonymous_779;2020-04-19 14:41:31;Nő;
anonymous_779;2020-04-19 14:41:31;Tömegközlekedés;
anonymous_780;2020-04-21 22:20:26;8800;
anonymous_780;2020-04-21 22:20:26;31;
anonymous_780;2020-04-21 22:20:26;Férfi;
anonymous_780;2020-04-21 22:20:26;Egyéb;
anonymous_781;2020-04-22 10:52:32;8800;
anonymous_781;2020-04-22 10:52:32;41;
anonymous_781;2020-04-22 10:52:32;Nő;
anonymous_781;2020-04-22 10:52:32;Egyéb;
anonymous_783;2020-04-22 10:57:09;8800;
anonymous_783;2020-04-22 10:57:09;19;
anonymous_783;2020-04-22 10:57:09;Nő;
anonymous_783;2020-04-22 10:57:09;Tömegközlekedés;
anonymous_784;2020-04-22 10:58:21;8800;
anonymous_784;2020-04-22 10:58:21;46;
anonymous_784;2020-04-22 10:58:21;Férfi;
anonymous_784;2020-04-22 10:58:21;Egyéb;
anonymous_784;2020-04-22 10:58:21;autó;
anonymous_785;2020-04-22 11:16:37;8800;
anonymous_785;2020-04-22 11:16:37;36;
anonymous_785;2020-04-22 11:16:37;Férfi;
anonymous_785;2020-04-22 11:16:37;Bicikli;
anonymous_786;2020-04-22 11:18:18;8800;
anonymous_786;2020-04-22 11:18:18;24;
anonymous_786;2020-04-22 11:18:18;Nő;
anonymous_786;2020-04-22 11:18:18;Egyéb;
anonymous_786;2020-04-22 11:18:18;autó;
anonymous_787;2020-04-22 11:20:00;8800;
anonymous_787;2020-04-22 11:20:00;24;
anonymous_787;2020-04-22 11:20:00;Nő;
anonymous_787;2020-04-22 11:20:00;Tömegközlekedés;
anonymous_788;2020-04-22 11:21:32;8800;
anonymous_788;2020-04-22 11:21:32;30;
anonymous_788;2020-04-22 11:21:32;Férfi;
anonymous_788;2020-04-22 11:21:32;Egyéb;
anonymous_788;2020-04-22 11:21:32;autó;
anonymous_789;2020-04-22 11:22:45;8800;
anonymous_789;2020-04-22 11:22:45;27;
anonymous_789;2020-04-22 11:22:45;Nő;
anonymous_789;2020-04-22 11:22:45;Egyéb;
anonymous_789;2020-04-22 11:22:45;autó;
anonymous_790;2020-04-22 11:23:47;8800;
anonymous_790;2020-04-22 11:23:47;63;
anonymous_790;2020-04-22 11:23:47;Nő;
anonymous_790;2020-04-22 11:23:47;Tömegközlekedés;
anonymous_791;2020-04-22 11:25:00;8800;
anonymous_791;2020-04-22 11:25:00;39;
anonymous_791;2020-04-22 11:25:00;Férfi;
anonymous_791;2020-04-22 11:25:00;Egyéb;
anonymous_791;2020-04-22 11:25:00;autó;
anonymous_792;2020-04-22 11:26:16;8800;
anonymous_792;2020-04-22 11:26:16;21;
anonymous_792;2020-04-22 11:26:16;Férfi;
anonymous_792;2020-04-22 11:26:16;Bicikli;
anonymous_793;2020-04-22 11:27:07;8800;
anonymous_793;2020-04-22 11:27:07;35;
anonymous_793;2020-04-22 11:27:07;Férfi;
anonymous_793;2020-04-22 11:27:07;Egyéb;
anonymous_793;2020-04-22 11:27:07;autó;
anonymous_794;2020-04-23 11:39:26;8800;
anonymous_794;2020-04-23 11:39:26;37;
anonymous_794;2020-04-23 11:39:26;Férfi;
anonymous_794;2020-04-23 11:39:26;Bicikli;
anonymous_795;2020-04-30 11:41:28;8800;
anonymous_795;2020-04-30 11:41:28;25;
anonymous_795;2020-04-30 11:41:28;Férfi;
anonymous_795;2020-04-30 11:41:28;Egyéb;
anonymous_796;2020-05-05 12:59:11;8800;
anonymous_796;2020-05-05 12:59:11;33;
anonymous_796;2020-05-05 12:59:11;Férfi;
anonymous_796;2020-05-05 12:59:11;Egyéb;
anonymous_797;2020-05-05 13:03:23;8800;
anonymous_797;2020-05-05 13:03:23;21;
anonymous_797;2020-05-05 13:03:23;Férfi;
anonymous_797;2020-05-05 13:03:23;Tömegközlekedés;
anonymous_798;2020-05-05 13:06:59;8800;
anonymous_798;2020-05-05 13:06:59;21;
anonymous_798;2020-05-05 13:06:59;Férfi;
anonymous_798;2020-05-05 13:06:59;Bicikli;
anonymous_799;2020-05-06 09:10:24;8800;
anonymous_799;2020-05-06 09:10:24;26;
anonymous_799;2020-05-06 09:10:24;Férfi;
anonymous_799;2020-05-06 09:10:24;Egyéb;
anonymous_800;2020-05-06 09:16:20;8800;
anonymous_800;2020-05-06 09:16:20;33;
anonymous_800;2020-05-06 09:16:20;Nő;
anonymous_800;2020-05-06 09:16:20;Egyéb;
anonymous_801;2020-05-06 09:22:56;8800;
anonymous_801;2020-05-06 09:22:56;30;
anonymous_801;2020-05-06 09:22:56;Férfi;
anonymous_801;2020-05-06 09:22:56;Egyéb;
anonymous_802;2020-05-06 09:26:51;8800;
anonymous_802;2020-05-06 09:26:51;44;
anonymous_802;2020-05-06 09:26:51;Férfi;
anonymous_802;2020-05-06 09:26:51;Tömegközlekedés;
anonymous_803;2020-05-06 09:30:11;8800;
anonymous_803;2020-05-06 09:30:11;20;
anonymous_803;2020-05-06 09:30:11;Férfi;
anonymous_803;2020-05-06 09:30:11;Egyéb;
anonymous_804;2020-05-06 15:01:27;8800;
anonymous_804;2020-05-06 15:01:27;26;
anonymous_804;2020-05-06 15:01:27;Férfi;
anonymous_804;2020-05-06 15:01:27;Egyéb;
anonymous_805;2020-05-07 00:05:38;8800;
anonymous_805;2020-05-07 00:05:38;20;
anonymous_805;2020-05-07 00:05:38;Nő;
anonymous_805;2020-05-07 00:05:38;Tömegközlekedés;
anonymous_806;2020-05-07 00:09:26;8800;
anonymous_806;2020-05-07 00:09:26;20;
anonymous_806;2020-05-07 00:09:26;Férfi;
anonymous_806;2020-05-07 00:09:26;Tömegközlekedés;
anonymous_807;2020-05-07 00:13:09;8800;
anonymous_807;2020-05-07 00:13:09;22;
anonymous_807;2020-05-07 00:13:09;Nő;
anonymous_807;2020-05-07 00:13:09;Tömegközlekedés;
anonymous_808;2020-05-07 08:54:13;8800;
anonymous_808;2020-05-07 08:54:13;40;
anonymous_808;2020-05-07 08:54:13;Férfi;
anonymous_808;2020-05-07 08:54:13;Tömegközlekedés;
anonymous_809;2020-05-07 08:57:26;8800;
anonymous_809;2020-05-07 08:57:26;43;
anonymous_809;2020-05-07 08:57:26;Nő;
anonymous_809;2020-05-07 08:57:26;Tömegközlekedés;
anonymous_810;2020-05-07 09:03:36;8800;
anonymous_810;2020-05-07 09:03:36;34;
anonymous_810;2020-05-07 09:03:36;Férfi;
anonymous_810;2020-05-07 09:03:36;Egyéb;
anonymous_811;2020-05-07 09:07:38;8800;
anonymous_811;2020-05-07 09:07:38;20;
anonymous_811;2020-05-07 09:07:38;Férfi;
anonymous_811;2020-05-07 09:07:38;Tömegközlekedés;
anonymous_812;2020-05-07 09:08:32;8800;
anonymous_812;2020-05-07 09:08:32;53;
anonymous_812;2020-05-07 09:08:32;Nő;
anonymous_812;2020-05-07 09:08:32;Bicikli;
anonymous_813;2020-05-07 09:09:32;8800;
anonymous_813;2020-05-07 09:09:32;22;
anonymous_813;2020-05-07 09:09:32;Férfi;
anonymous_813;2020-05-07 09:09:32;Egyéb;
anonymous_813;2020-05-07 09:09:32;autó;
anonymous_814;2020-05-07 09:13:04;8800;
anonymous_814;2020-05-07 09:13:04;33;
anonymous_814;2020-05-07 09:13:04;Férfi;
anonymous_814;2020-05-07 09:13:04;Egyéb;
anonymous_814;2020-05-07 09:13:04;autó;
anonymous_815;2020-05-07 09:14:30;8800;
anonymous_815;2020-05-07 09:14:30;20;
anonymous_815;2020-05-07 09:14:30;Nő;
anonymous_815;2020-05-07 09:14:30;Egyéb;
anonymous_816;2020-05-07 09:18:51;8800;
anonymous_816;2020-05-07 09:18:51;28;
anonymous_816;2020-05-07 09:18:51;Férfi;
anonymous_816;2020-05-07 09:18:51;Egyéb;
anonymous_816;2020-05-07 09:18:51;autó;
anonymous_817;2020-05-07 09:23:34;8800;
anonymous_817;2020-05-07 09:23:34;25;
anonymous_817;2020-05-07 09:23:34;Férfi;
anonymous_817;2020-05-07 09:23:34;Bicikli;
anonymous_818;2020-05-07 15:30:19;8800;
anonymous_818;2020-05-07 15:30:19;33;
anonymous_818;2020-05-07 15:30:19;Férfi;
anonymous_818;2020-05-07 15:30:19;Egyéb;
anonymous_818;2020-05-07 15:30:19;autó;
anonymous_819;2020-05-10 12:19:14;8800;
anonymous_819;2020-05-10 12:19:14;58;
anonymous_819;2020-05-10 12:19:14;Férfi;
anonymous_819;2020-05-10 12:19:14;Tömegközlekedés;
anonymous_820;2020-05-11 14:56:35;8800;
anonymous_820;2020-05-11 14:56:35;34;
anonymous_820;2020-05-11 14:56:35;Nő;
anonymous_820;2020-05-11 14:56:35;Egyéb;
